DATE,TIME,CLASS_OF_ACCIDENT,IMPACT_TYPE,ENVIRONMENT,LIGHT,ROAD_SURFACE_CONDITION,TRAFFIC_CONTROL_CONDITION,NO_OF_PEDESTRIANS,X,Y,Highway,Month,categorical_TRAFFIC_CONTROL_01,categorical_TRAFFIC_CONTROL_02,categorical_TRAFFIC_CONTROL_03,categorical_TRAFFIC_CONTROL_04,categorical_TRAFFIC_CONTROL_07,categorical_TRAFFIC_CONTROL_08,categorical_TRAFFIC_CONTROL_09,categorical_TRAFFIC_CONTROL_11,categorical_ACCIDENT_LOCATION_01,categorical_ACCIDENT_LOCATION_02,categorical_ACCIDENT_LOCATION_03,categorical_ACCIDENT_LOCATION_04,categorical_ACCIDENT_LOCATION_05,categorical_ACCIDENT_LOCATION_06,categorical_ACCIDENT_LOCATION_07,categorical_Seasons_Fall,categorical_Seasons_Spring,categorical_Seasons_Summer,categorical_Seasons_Winter
2018-12-10,18:40:00,03,04,01,07,01,,0,346708.9629,5015177.5819999995,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-10,19:00:00,03,07,01,07,01,,0,344410.3371,5015387.561000001,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-10,20:40:00,03,07,01,07,01,,0,333388.7394,5020957.391,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-11,09:09:00,03,07,03,01,06,,0,366188.1778,5029395.9,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-11-07,07:40:00,03,07,01,01,01,,0,346203.2869,5013828.938,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-12-11,12:35:00,03,07,03,01,02,,0,362180.9824,5011971.219,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-11-06,08:45:00,03,03,01,01,01,,0,361836.8489,5024599.999,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-12-11,16:15:00,03,04,01,05,02,,0,367029.4525,5029673.152,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-11-06,23:30:00,03,07,01,07,01,,0,391662.9114,5023031.795,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-12-11,17:50:00,03,03,03,07,02,,0,364750.7575,5028019.935,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-11-07,16:00:00,03,03,01,01,01,,0,368908.6569,5030695.625,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-12-11,19:52:00,03,07,01,07,02,,0,369009.0276,5001676.359,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-11-08,18:45:00,03,03,01,07,01,,0,367236.4587,5029749.268999999,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-12-12,,03,07,01,07,02,,0,364254.109,5008823.371,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-11-09,14:32:00,03,03,03,01,02,,0,363808.0332,5026687.197,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-12-12,07:00:00,03,03,01,03,01,,0,360453.6725,5023522.783,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-11-09,16:30:00,03,07,03,05,03,,0,384906.3076,5025042.681,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-12-12,08:44:00,03,07,01,01,01,,0,360204.89,5018329.521000001,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-11-09,17:05:00,03,07,03,07,03,,0,338421.1031,5019637.984,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
